ID,Latitude,Longitude,State,Franchisee
8923,33.957204,-83.585805,Georgia,Gregory B. Fox
8924,34.732741,-77.474553,North Carolina,Stanley J. Gage
8925,35.747224,-78.873048,North Carolina,G. Mack Patterson
8926,34.669224,-77.33955,North Carolina,Peter P. D'Andrea
8927,34.98121,-79.01157,North Carolina,S. Osman Qasim
8929,34.758941,-77.483431,North Carolina,Stanley J. Gage
8930,36.06299,-79.103314,North Carolina,G. Mack Patterson
8931,34.375877,-77.702364,North Carolina,Craig W. Brannan
8932,35.839346,-78.856714,North Carolina,Craig W. Brannan
8934,35.259302,-81.255566,North Carolina,G. Mack Patterson
8935,35.796105,-78.380927,North Carolina,G. Mack Patterson
8936,36.073144,-79.294571,North Carolina,Clyde Page Stokes
8937,35.845532,-79.088774,North Carolina,Michael S. Rea
8938,35.794909,-78.504243,North Carolina,G. Mack Patterson
8940,35.590502,-78.774817,North Carolina,Mark S. Farrior
8941,34.4277,-77.5443,North Carolina,John C. Barber
8943,34.177054,-77.892021,North Carolina,John C. Barber
8944,34.272081,-77.817955,North Carolina,John C. Barber
8945,33.91133,-78.11274,North Carolina,John C. Barber
8946,35.812043,-81.426578,North Carolina,G. Mack Patterson
8947,36.085265,-78.31735,North Carolina,Bart H. Crum
8948,36.281549,-80.14435,North Carolina,Bradley C. Davis
8949,35.9215,-81.1834,North Carolina,Himanshu B. Patel
8950,33.904738,-78.444047,North Carolina,John C. Barber
8951,35.73246,-79.444504,North Carolina,S. Osman Qasim
8952,35.0601,-79.0473,North Carolina,S. Osman Qasim
8953,34.790242,-76.878932,North Carolina,Stanley J. Gage
8954,34.679345,-77.092009,North Carolina,Stanley J. Gage
8955,33.942677,-78.029968,North Carolina,John C. Barber
8956,36.257339,-80.84837,North Carolina,Paul G. Mehaffey
8957,36.418972,-79.932915,North Carolina,Michael L. Tingen
8958,35.665195,-78.697301,North Carolina,G. Mack Patterson
8959,34.892325,-77.547085,North Carolina,Stanley J. Gage
8960,36.169516,-80.165369,North Carolina,Bradley C. Davis
8961,35.244179,-79.025778,North Carolina,Gerald B. Rhodes
8962,35.739647,-79.648238,North Carolina,S. Osman Qasim
8963,35.570656,-80.571978,North Carolina,S. Osman Qasim
8965,34.310032,-77.87861,North Carolina,John C. Barber
8966,34.741127,-77.975143,North Carolina,John C. Barber
8967,33.688172,-84.311025,Georgia,Joseph M. Podsen
8968,35.141399,-80.624037,North Carolina,G. Mack Patterson
8969,30.882141,-84.19985,Georgia,Joseph M. Podsen
8970,35.359108,-79.786726,North Carolina,S. Osman Qasim
8972,35.504523,-81.00142,North Carolina,Himanshu B. Patel
8973,35.2118,-78.0622,North Carolina,Gerald B. Rhodes
8974,34.371918,-83.870365,Georgia,Gregory B. Fox
8975,35.717577,-81.44578,North Carolina,G. Mack Patterson
8977,35.555403,-80.413643,North Carolina,S. Osman Qasim
8978,35.663756,-78.834771,North Carolina,G. Mack Patterson
8979,35.69169,-82.02133,North Carolina,G. Mack Patterson
8980,35.744214,-78.736647,North Carolina,Mark S. Farrior
8981,33.8539,-83.8748,Georgia,Gregory B. Fox
8982,36.0092,-80.4444,North Carolina,Paul G. Mehaffey
8983,34.2369,-77.9284,North Carolina,John C. Barber
8984,36.171494,-79.988426,North Carolina,Michael L. Tingen
8986,35.646821,-81.267563,North Carolina,G. Mack Patterson
8987,34.682966,-79.198559,North Carolina,John E. Jr. Ridge
8988,35.58549,-82.474438,North Carolina,S. Osman Qasim
8989,34.194393,-77.936666,North Carolina,John C. Barber
8991,35.254587,-78.966446,North Carolina,Gerald B. Rhodes
8992,35.254503,-80.439456,North Carolina,S. Osman Qasim
8993,35.704353,-80.891541,North Carolina,S. Osman Qasim
8994,35.913901,-80.253194,North Carolina,Nicolas Shane Graham
8995,34.632372,-78.616416,North Carolina,John C. Barber
8996,36.200409,-79.843697,North Carolina,Michael L. Tingen
8997,31.211944,-83.258056,Georgia,Ricky E. Teel
9020,35.95247,-78.53518,North Carolina,Steven Ferone
9030,36.034286,-115.20739,North Carolina,Steven Ferone
9031,39.607296,-119.697425,Nevada,Mark J. Kraniger
9032,40.845481,-115.74975,Nevada,Charles M. Riddle
9033,36.067625,-115.036668,Nevada,Charles M. Riddle
9035,38.957443,-119.770989,Nevada,Mark J. Kraniger
9038,36.15881,-115.046399,Nevada,Mark J. Kraniger
9039,35.985963,-115.1451,Nevada,Mark J. Kraniger
9043,36.191456,-115.259498,Nevada,Mark J. Kraniger
9045,39.608624,-119.215942,Nevada,Charles M. Riddle
9046,36.054955,-115.244945,Nevada,Charles M. Riddle
9053,40.412924,-75.509545,Pennsylvania,Ammar Jali
9055,41.033568,-75.301434,Pennsylvania,Khushminder S. Bhullar
9056,40.582049,-75.629646,Pennsylvania,Mohammad S. Khan
9057,40.052725,-75.661079,Pennsylvania,Mohammad S. Khan
9061,40.005272,-75.240326,Pennsylvania,Mohammed Shamsuzzaman Joarder
9062,39.983254,-75.242824,Pennsylvania,Mohammed Shamsuzzaman Joarder
9064,39.99416,-75.1539,Pennsylvania,Syed Akhtar Zaidi
9065,40.068163,-75.147732,Pennsylvania,Syed Akhtar Zaidi
9066,41.222159,-76.743341,Pennsylvania,Khushminder S. Bhullar
9067,41.208607,-75.970858,Pennsylvania,Seth R. Gollhardt
9068,41.202734,-77.270578,Pennsylvania,Zonda L. Gregory
9069,40.056845,-77.509268,Pennsylvania,Todd O. Barrick
9070,40.126772,-79.552763,Pennsylvania,Todd O. Barrick
9071,40.192088,-75.073778,Pennsylvania,Mohammad S. Khan
9072,40.819305,-76.208941,Pennsylvania,Khushminder S. Bhullar
9074,40.516599,-80.036461,Pennsylvania,Mohammed K. Kayani
9075,42.101165,-80.146573,Pennsylvania,Paul M. Mohtashemi
9076,41.001833,-80.347269,Pennsylvania,Khurram S. Ali
9077,40.309576,-80.033176,Pennsylvania,Furqan Anis
9078,40.589525,-79.724571,Pennsylvania,Furqan Anis
9079,40.860853,-79.895229,Pennsylvania,Khurram S. Ali
9080,39.956639,-75.210622,Pennsylvania,Murat Coskun
9081,40.70219,-80.289133,Pennsylvania,Khurram S. Ali
9082,40.534031,-80.229076,Pennsylvania,Shariq Khan
9083,40.30705,-79.575464,Pennsylvania,Izhar Ali Khan
9084,40.78115,-77.853621,Pennsylvania,Khushminder S. Bhullar
9085,40.599538,-79.947349,Pennsylvania,Khurram S. Ali
9086,40.283388,-76.589771,Pennsylvania,Khushminder S. Bhullar
9087,40.468925,-79.82361,Pennsylvania,Zachary M. Keeney
9088,40.139136,-79.843254,Pennsylvania,Raja M. Khurram
9089,40.976934,-75.445031,Pennsylvania,Khushminder S. Bhullar
9090,40.506189,-75.790032,Pennsylvania,Mohammad S. Khan
9092,40.431774,-78.411572,Pennsylvania,Sheldon R. Jr. Port
9094,40.831999,-75.707199,Pennsylvania,Khushminder S. Bhullar
9095,40.32795,-79.721763,Pennsylvania,Izhar Ali Khan
9097,40.328635,-76.867265,Pennsylvania,Khushminder S. Bhullar
9098,40.243596,-76.706609,Pennsylvania,Khushminder S. Bhullar
9101,37.130292,-113.504996,Utah,Wesley Glen Keetch
9102,40.361851,-111.964977,Utah,Charles M. Riddle
